自萦, 1 
柯如, 1 
时世贤, 1 
君言, 1 
何惜, 1 
翠华, 2 
充膳, 1 
最是, 2 
还合, 1 
南浦, 1 
路出, 1 
落时, 1 
相, 8 
尽花, 1 
清, 7 
真源, 1 
仙人, 1 
未免, 1 
今来, 2 
四郊, 1 
告, 1 
寂寥, 3 
金门, 1 
絮征, 1 
本无郎, 1 
幽意, 1 
富贵, 2 
会须, 1 
耻, 1 
文翁, 1 
湿声, 1 
外起, 1 
色难腥, 1 
凤池头, 1 
215, 1 
寂寞, 9 
天假神, 1 
公行, 1 
同乡, 1 
李白, 33 
逍遥, 1 
莫敢, 1 
狱, 1 
野渡, 1 
告归常, 1 
嵩, 1 
登楼, 1 
万世, 1 
闲持, 1 
李斯, 1 
烟水, 2 
论列, 1 
斯人, 3 
疏, 1 
牛渚, 2 
薜荔, 1 
无片, 1 
长江, 4 
兄, 2 
无限, 5 
贡玉堂, 1 
萦, 1 
功臣, 1 
落日, 5 
亚相, 1 
公孙, 3 
江村, 1 
负以, 1 
日行, 1 
浮烟, 1 
245, 1 
秋光, 1 
常存, 1 
道旁, 1 
行到, 2 
委蛇, 1 
315, 1 
解听, 1 
夫人, 1 
原上, 2 
邻近, 1 
芦草, 1 
273, 1 
残宵, 1 
竹怜, 1 
清风, 2 
胜迹, 1 
登山, 1 
言迟, 1 
奉送, 2 
酒欢, 1 
江淮, 1 
之五, 1 
庐, 1 
甘长, 1 
怀古, 2 
落第, 1 
北原, 1 
帝城, 1 
嵩山, 1 
繁花, 1 
壮观, 1 
孝恭, 1 
151, 2 
残破, 1 
心, 11 
231, 1 
枕席, 1 
殷勤, 3 
剔开, 1 
身上, 2 
山中, 8 
嗟尔, 1 
嗔, 1 
冬歌, 1 
望五津, 1 
黄, 4 
古道, 1 
东来, 2 
云海, 1 
楚腰纤细, 1 
屡止, 1 
晦昧, 1 
城外, 2 
韩, 6 
幽音, 1 
花木, 1 
鬼物, 2 
辞家破, 1 
孤飞, 1 
蹈且, 1 
所尚, 1 
乡关, 1 
服, 2 
翠花, 1 
罢官, 1 
远魂, 1 
愁思, 1 
双栖, 1 
寒声, 1 
兆, 1 
羁旅, 2 
忽逢, 1 
哀哉, 1 
骑闻, 1 
满山, 1 
於, 8 
中泣, 1 
酸辞且, 1 
天畔, 1 
古祠, 1 
二峰, 1 
勤王, 1 
我行, 1 
睡觉, 1 
骆驼, 1 
其真, 1 
隔江, 1 
掩泪空, 1 
更迟, 1 
万仞, 1 
方平, 2 
仍怜, 1 
白鸟, 1 
门楼, 1 
邱为, 1 
羡鱼情, 1 
木兰, 1 
底束, 1 
妃, 1 
预堆, 1 
荷风, 1 
莺啼燕语, 1 
公之, 2 
应是, 1 
粗沙, 1 
辜负, 1 
顾勋, 1 
嘲, 1 
崔颢, 4 
秋夜, 5 
白狼, 1 
黾勉, 1 
马戴, 2 
寺, 2 
九日, 1 
通, 2 
